_no,category,name,address,phone,note,sido,sigungu,source
1,음식점,양동순대,서구 천변좌로246번길 11,062-368-5408,착한쿠폰 사용가능,광주광역시,서구,서구청_착한가게
2,소매업(축산),여수식육점,서구 구성로49번길 13,062-368-1238,착한쿠폰 사용가능,광주광역시,서구,서구청_착한가게
3,소매업(생활용품),중앙그릇,서구 천변좌로262번길 4,062-368-7272,착한쿠폰 사용가능,광주광역시,서구,서구청_착한가게
4,소매업(식료품),덕신상회,"서구 천변좌로 238, 나동 342호 (양동, 양동시장)",062-364-0884,착한쿠폰 사용가능,광주광역시,서구,서구청_착한가게
5,소매업(생활용품),수연쌀상회,서구 독립로185번길 11-1,062-368-6742,착한쿠폰 사용가능,광주광역시,서구,서구청_착한가게
6,마트,행복마트,서구 독립로 193,062-351-0023,착한쿠폰 사용가능,광주광역시,서구,서구청_착한가게
7,소매업(의류),광성상회(BYC),서구 천변좌로 238 나동 247호(양동),062-369-4962,착한쿠폰 사용가능,광주광역시,서구,서구청_착한가게
8,소매업(수산),평광수산,서구 천변좌로 246번길 16,0507-1385-8445,착한쿠폰 사용가능,광주광역시,서구,서구청_착한가게
9,소매업(반찬),하남반찬,"서구 천변좌로 238, 라동 605호, 620호",010-5737-1351,착한쿠폰 사용가능,광주광역시,서구,서구청_착한가게
10,소매업(축산),구가네정육점,"서구 천변좌로 238, 가동 64호",062-363-7494,착한쿠폰 사용가능,광주광역시,서구,서구청_착한가게
11,소매업(반찬),일심상회,"서구 천변좌로 238, 가동 154호",0507-1400-5696,착한쿠폰 사용가능,광주광역시,서구,서구청_착한가게
12,소매업(청과),과일나라,서구 천변좌로 238 가동 102호,,착한쿠폰 사용가능,광주광역시,서구,서구청_착한가게
13,소매업(축산),양동고기마트,서구 경열로 136,062-365-3426,착한쿠폰 사용가능,광주광역시,서구,서구청_착한가게
14,소매업(식료품),일출식자재유통,서구 천변좌로262번길 5,,착한쿠폰 사용가능,광주광역시,서구,서구청_착한가게
15,의료기관,무지개병원,서구 경열로 122,062-366-0600,착한쿠폰 사용가능,광주광역시,서구,서구청_착한가게
16,소매업(건어물),태양건어물,서구 양동시장1길 19,0507-1385-7480,착한쿠폰 사용가능,광주광역시,서구,서구청_착한가게
17,음식점(카페),행복만들기,서구 천변좌로 238 나 -277,062-369-1999,착한쿠폰 사용가능,광주광역시,서구,서구청_착한가게
18,소매업(의류),더아울렛,서구 천변좌로 224-1 가 4동 양동복개상가,0507-1306-3299,착한쿠폰 사용가능,광주광역시,서구,서구청_착한가게
19,음식점,송학식당,서구 양동시장2길 4,062-351-1412,착한쿠폰 사용가능,광주광역시,서구,서구청_착한가게
20,의료기관,독일약국,서구 경열로 144,062-367-6029,착한쿠폰 사용가능,광주광역시,서구,서구청_착한가게
21,소매업(축산),우림축산,서구 천변좌로 243 가1동 4호,0507-1423-4883,착한쿠폰 사용가능,광주광역시,서구,서구청_착한가게
22,소매업(축산),무등식육점,서구 양동시장2길 4,062-362-8560,착한쿠폰 사용가능,광주광역시,서구,서구청_착한가게
23,소매업(축산),참한우마트,서구 경열로 146(양동),062-363-9799,착한쿠폰 사용가능,광주광역시,서구,서구청_착한가게
24,소매업(청과),대덕상회,"서구 천변좌로 243, 나동 1-1호(양동,복개상가)",,착한쿠폰 사용가능,광주광역시,서구,서구청_착한가게
25,소매업(축산),중앙식육점,서구 천변좌로 238,062-365-9009,착한쿠폰 사용가능,광주광역시,서구,서구청_착한가게
26,소매업(생활용품),시너바신발,서구 천변좌로 282 복개상가 나1동 15호,062-361-8211,착한쿠폰 사용가능,광주광역시,서구,서구청_착한가게
27,의료기관,양동종로약국,서구 구성로19번길 7-4,062-351-0352,착한쿠폰 사용가능,광주광역시,서구,서구청_착한가게
28,소매업(침구),예은침구,서구 천변좌로 243 나동 113호,062-362-2925,착한쿠폰 사용가능,광주광역시,서구,서구청_착한가게
29,음식점,1969양동통닭,서구 천변좌로 262,062-365-5410,착한쿠폰 사용가능,광주광역시,서구,서구청_착한가게
30,소매업(침구),대호이불수예타올,서구 천변좌로243 양동복개상가 나2동 67호,,착한쿠폰 사용가능,광주광역시,서구,서구청_착한가게
31,기타(금융기관),광주새마을금고,서구 경열로146번길 3-2,062-361-3515,,광주광역시,서구,서구청_착한가게
32,기타(금융기관),온누리새마을금고,서구 독립로204번길 6,062-363-5040,,광주광역시,서구,서구청_착한가게
